corr_YT,corr_YX,corr_TX,corr_XX
0.2332026453565617,0.6460793467692643,0.025102270510255015,0.618006686204973
0.14674523374003856,0.6056562073671949,-0.021583845026766038,0.4091934371703277
0.15876033926291439,0.7476755351015933,0.029566110627205544,0.5654903038836789
0.12756894811750125,0.7728366266921989,0.0023752631222380104,0.5253801943300103
0.16181029266085367,0.8033562943008419,0.024236401289945236,0.538237990334972
0.16447787046539084,0.7869744651974898,0.055402731893990045,0.5006923413462987
0.14289212569529228,0.733239457185004,0.04892272924216791,0.5455924898157174
0.21543019713726977,0.675869354298463,-0.011321877933079105,0.4362447312506324
0.1353667736041725,0.6761155437304134,-0.004024791102597404,0.3802457701653905
0.2499772397159975,0.6072975049945268,-0.017653575627151794,0.3575693021303151
0.17552750259432548,0.2244325944364855,0.023343941812086298,0.1540975041604081
0.3351961281095232,0.5234138181764245,0.0026449619129095027,0.7777803686166799
0.11625121823901263,0.6121261594984931,0.027476098949820525,0.5915430073855557
0.1381595580694006,0.6854614333905414,0.026648458451798848,0.472996483680317
0.06559761640467815,0.7467100317360102,-0.06596886900510937,0.5092205755738586
0.27118203417252085,0.6864425969036687,0.07444936358309351,0.628221191153187
0.18891047341742717,0.5717960604654073,-0.03684925834200753,0.43618640266510184
0.18892903139301312,0.6882045768603626,0.02152196379673975,0.4736425688632533
0.07455992401284203,0.7579158704254434,-0.03446144827438914,0.716688008664011
0.2644809633142543,0.7180641981928213,2.6654251030420496e-05,0.5373691028773249
0.24244667690260807,0.6109437517369616,0.045512841442750585,0.48574282583714123
0.12309457729034151,0.48375131554415335,-0.0037853452116588596,0.4074723572675246
0.07945059629394333,0.6501997347255516,-0.0484695834171883,0.5501074342469117
0.10964641942915535,0.7508594138070146,-0.008470166817653738,0.5785334858801606
0.19455037596292277,0.6445250193305665,0.06034530305492566,0.5649619344677819
0.14494570786835104,0.5892470540980126,0.008812973026101172,0.4978370138752608
0.1146337881831899,0.5401666175437864,-0.02388966701813255,0.36565513826501733
0.13356310093945872,0.5265794132613393,-0.01283499745271276,0.3994973949771029
0.11676139688808315,0.6934091915753787,0.013086821766563717,0.5970605750439086
0.10260309447873768,0.6717714106817269,-0.008963266273594506,0.341345259952413
0.14216799511559947,0.7880722923769266,0.057374323633082286,0.5184710103678636
