sample size,tauhat,sehat,lb,ub
20,1.575648966100362,0.5881615929793159,0.3347364749494224,2.816561457251302
22,0.48447718890841335,0.4428152247056203,-0.4423457280586503,1.411300105875477
24,0.9517893002092114,0.6145268912766464,-0.3261893308471536,2.2297679312655765
26,-0.21223709405096602,0.6292016894017993,-1.5138399573205157,1.0893657692185839
28,1.260629906771801,0.7572359121221137,-0.29892664777299816,2.8201864613166
30,-0.25723580362971865,0.3348232132334305,-0.9442362901680567,0.42976468290861936
32,-0.8567618611673922,0.70551073917336,-2.2996933377677022,0.5861696154329181
34,0.9141843598194174,0.570837500896713,-0.2500463989667506,2.0784151186055855
36,0.908656063147624,0.6217331040761064,-0.356269448025876,2.173581574321124
38,0.597688821630283,0.48800949698596613,-0.39302312726238864,1.5884007705229548
40,0.1309325397601056,0.5529922315450753,-0.9895361519101742,1.2514012314303853
42,0.41216142884444096,0.6513927430150223,-0.905404752422,1.7297276101108818
44,-0.264286895812337,0.6849157501278024,-1.647502310072506,1.118928518447832
46,0.7472988579670284,0.6542684086056636,-0.5721591345422542,2.066756850476311
48,0.22523061602321728,0.6807684545871653,-1.145907432648522,1.5963686646949566
50,0.6234355352598373,0.6923061599116188,-0.7693048122862725,2.016175882805947
52,1.1823455506227298,0.5913089247641679,-0.005934220515785071,2.3706253217612447
54,0.9866839210103515,0.7196526653772249,-0.45807908871108194,2.431446930731785
56,0.48824920017950857,0.5724374508448523,-0.6599149234030589,1.636413323762076
58,0.5483903664762865,0.5302182316725101,-0.5141907139276293,1.6109714468802023
60,0.30204729275306874,0.464294021870055,-0.6276854484229629,1.2317800339291005
62,0.7734551168681891,0.5651334438784157,-0.35737429174785507,1.9042845254842333
64,0.22110175159233364,0.4193739292865594,-0.6174882479720378,1.059691751156705
66,0.37904587206012164,0.5369599663418264,-0.6939829979893838,1.4520747421096272
68,0.8811106770821262,0.48361681486620883,-0.08473879671346651,1.846960150877719
70,1.0679806636552909,0.46961272948709726,0.13062973270061173,2.00533159460997
72,0.641730276741227,0.5336671203136643,-0.42290649786881573,1.7063670513512696
74,-0.3045263471605957,0.44731730187849605,-1.1964517143799207,0.5873990200587295
76,0.3713997978444746,0.40888061559662275,-0.44349809372541743,1.1862976894143666
78,0.0920810628254335,0.4786169283855044,-0.8613727510037581,1.045534876654625
80,0.30141996226820833,0.42516582643008366,-0.5451933582632287,1.1480332827996453
82,0.9580090641147138,0.3996701598912197,0.16248551043275417,1.7535326177966732
84,0.3414582916471117,0.41615602189146783,-0.48656165344617364,1.169478236740397
86,0.6200014506693623,0.3769209703694059,-0.12967919962912544,1.3696821009678501
88,0.3443777903051742,0.43368003203353644,-0.517894299428443,1.2066498800387913
90,-0.06435964826178553,0.5362884743386578,-1.1302910610984345,1.0015717645748632
92,0.4093340385988994,0.37927400126259964,-0.34427532313614573,1.1629434003339445
94,0.1951505842919794,0.405722983565469,-0.6107682812369291,1.0010694498208879
96,0.33999901558317236,0.5010893089408304,-0.6550650432075474,1.3350630743738923
98,0.716414500927905,0.34822704907554713,0.025096402336197365,1.4077325995196128
100,0.8365794795787795,0.36658009854381934,0.10901945849913286,1.5641395006584262
102,0.5445729258056151,0.3585876197421484,-0.16694270788790555,1.2560885594991358
104,0.17923154456600388,0.41689714349743656,-0.6477802440041751,1.0062433331361829
106,0.38794885628377584,0.4107245915232109,-0.4266264994347502,1.2025242120023019
108,0.707912830999467,0.3791058415845446,-0.04378402205734622,1.4596096840562802
110,0.16308172673752075,0.40169497198695625,-0.6332317055914528,0.9593951590664943
112,0.5712597814587232,0.3388585138942394,-0.10034677668380942,1.2428663396012558
114,0.5014479061794621,0.3351864310232523,-0.1627463829441027,1.165642195303027
116,0.46391506976855446,0.3672424859467446,-0.26365853051703125,1.1914886700541403
118,0.6120134637856927,0.32572609988450335,-0.03318725118793975,1.257214178759325
120,-0.09402305358521888,0.38477507270014694,-0.8560499223345001,0.6680038151640623
122,0.8399911308601601,0.3975921692318096,0.052718925696305985,1.627263336024014
124,0.07979048750483825,0.36037493695881556,-0.6336667535911331,0.7932477286008097
126,0.22751589747347736,0.38414462709339353,-0.5328748380558572,0.9879066330028119
128,0.34611960461072133,0.31473653653763745,-0.27678306295985056,0.9690222721812932
130,0.5681823817430941,0.3377405533709539,-0.10014522292115857,1.2365099864073468
132,0.3417935495016343,0.3306862900893749,-0.3124773744297791,0.9960644734330477
134,0.8480438115216713,0.29516832201664195,0.2641304613540312,1.4319571616893114
136,0.5227974347758684,0.2460238611794614,0.0361717673062763,1.0094231022454605
138,0.6530324647847197,0.30334411242919423,0.053111156292496076,1.2529537732769431
140,0.04006592726827965,0.3543770837212051,-0.6606903790033634,0.7408222335399226
142,0.29758614506218634,0.3418762952298924,-0.37836405039277926,0.973536340517152
144,0.6734839423435905,0.3557796428334056,-0.029868036584109525,1.3768359212712906
146,0.21778695487164235,0.34980116149131324,-0.473662271870705,0.9092361816139897
148,0.43278982400682164,0.33375010884792267,-0.2268537701515937,1.0924334181652369
150,0.30323001462678156,0.3951940876519319,-0.47776570486522185,1.0842257341187849
152,0.4633123300572407,0.3058444695980765,-0.14104037218885024,1.0676650323033317
154,0.37867393642703856,0.3351964512210249,-0.28360685115990786,1.040954724013985
156,0.5760470449833435,0.29506598026530534,-0.00688244791373005,1.158976537880417
158,0.7031869734013243,0.2966726855628186,0.11714356820741534,1.2892303785952333
160,0.8114779872458364,0.26754334158072,0.2830292783043662,1.3399266961873066
162,0.6126664305423799,0.28087695610759617,0.05793550597825736,1.1673973551065024
164,0.5096317376616322,0.32817901823768253,-0.1384588430950655,1.1577223184183298
166,0.8248772319884217,0.3221110552081905,0.18882881169093635,1.460925652285907
168,0.9287060203440208,0.36408646907985287,0.20983708249573296,1.6475749581923087
170,0.5294432169402348,0.2676519811077326,0.0010256840497342434,1.0578607498307353
172,0.5860975530267776,0.29755580712121066,-0.0013074989357781952,1.1735026049893333
174,0.0647744832556082,0.31541134592259495,-0.5578266819687736,0.68737564847999
176,0.6475523920709025,0.25656682014043003,0.14114815648256496,1.1539566276592401
178,0.8155557864614773,0.2528723068176272,0.31648385044419025,1.3146277224787644
180,0.5891984813175108,0.3113134808547751,-0.02516534942726012,1.2035623120622818
182,0.6014571919663333,0.2838157653495103,0.041401999993405214,1.1615123839392614
184,0.9530023430783008,0.2861139409782917,0.3884546055781589,1.5175500805784425
186,0.13492887783640614,0.241922801217169,-0.34238769150734294,0.6122454471801553
188,0.11508989759841098,0.29721679311620697,-0.47128018104872565,0.7014599762455476
190,-0.05884581954267909,0.28795411430094014,-0.6269018370209931,0.5092101979356349
192,0.23485417173199163,0.3102977854920195,-0.3772377129841432,0.8469460564481265
194,0.3125700592836586,0.26534839547012085,-0.21081956482610426,0.8359596833934215
196,0.5440797389444123,0.28088109805979034,-0.009910947890432231,1.0980704257792568
198,0.4062717434636595,0.28348413937016104,-0.1528168246717801,0.9653603115990992
200,0.3402394803892142,0.2323656133609002,-0.11800387389032257,0.7984828346687509
202,0.6749877514175819,0.28188785536954825,0.11911715027717418,1.2308583525579897
204,0.741899786904894,0.29184873449731974,0.16642179776623123,1.3173777760435568
206,0.12243350655803167,0.2660656657557833,-0.4021731815410553,0.6470401946571186
208,0.43823547242382355,0.28146714345464785,-0.11670613253877427,0.9931770773864214
210,0.3073272359987612,0.2222441738816373,-0.1308250174569494,0.7454794894544718
212,0.7542020896923296,0.26451844890455417,0.23273585232196603,1.2756683270626932
214,0.35104295786337764,0.34497361866433685,-0.3289934102701843,1.0310793259969395
216,0.588088857134898,0.24144568486926166,0.1121598428195899,1.064017871450206
218,0.7195417225636115,0.21536753804392483,0.2950395720910133,1.1440438730362097
220,-0.03585727303945607,0.27074537325136744,-0.5694845722874643,0.49777002620855215
222,0.5692114735784747,0.28069895793158545,0.015994425783348754,1.1224285213736005
224,0.6126615656273946,0.2411826339015796,0.1373493775330259,1.0879737537217633
226,0.5093825275656478,0.2383688738646475,0.03963877030025598,0.9791262848310397
228,0.5719781092672789,0.23625254266324047,0.10642749783183475,1.037528720702723
230,0.4328883149003472,0.294865367615388,-0.14813490232218485,1.0139115321228793
232,0.5820511130961871,0.21812511704565188,0.15226233754683072,1.0118398886455435
234,0.6836963393591996,0.24011773656398375,0.21059556635027205,1.156797112368127
236,0.5797358055602622,0.22427051858278957,0.13787856832836698,1.0215930427921573
238,0.2125844513281384,0.2612088074597094,-0.30202564860101877,0.7271945512572956
240,0.6992242593929128,0.2588362424545302,0.1893106469951079,1.2091378717907175
242,0.29143415423267044,0.22523642369910601,-0.15226795245979452,0.7351362609251354
244,0.5407602851122221,0.23651776547209621,0.07485429540788008,1.006666274816564
246,0.11224820396135934,0.2508393557737177,-0.3818487364068326,0.6063451443295512
248,0.1881265903866127,0.28035141264721164,-0.36407988272016156,0.740333063493387
250,0.37734671898821864,0.2570302640657428,-0.12890388164411498,0.8835973196205522
252,0.046283923506111185,0.2780003252245951,-0.5012479662395232,0.5938158132517456
254,0.5587061983634115,0.2026023857233451,0.1596888577406272,0.9577235389861958
256,0.6902612575974385,0.2597547413726018,0.17870421711416773,1.2018182980807093
258,0.4906526859335817,0.24332837408161628,0.011463546910436273,0.9698418249567271
260,1.089135764699025,0.28928291737429007,0.5194689967858936,1.6588025326121563
262,0.023127877782303602,0.22554641491333866,-0.4210103538250217,0.46726610938962887
264,0.24208885359321564,0.2949490416269497,-0.33869374813553876,0.82287145532197
266,0.5260085851940322,0.2567116612789921,0.02053691304364791,1.0314802573444164
268,0.2761772871698371,0.20579418804381458,-0.12902247204000894,0.6813770463796831
270,0.37190772417533124,0.2614058610748303,-0.14277130153632145,0.8865867498869839
272,0.26065251058059186,0.2361722459538174,-0.2043285969267653,0.725633618087949
274,0.29639109474306646,0.22731159224243297,-0.15113003768932431,0.7439122271754572
276,0.354757193075467,0.2554636531580735,-0.1481719600590004,0.8576863462099344
278,0.2705862884417951,0.27942581146182294,-0.27949915183599794,0.8206717287195882
280,0.17664483968617437,0.2293742242344575,-0.27489324069157894,0.6281829200639277
282,0.40969753044917806,0.21052086368640427,-0.004713447921095015,0.8241085088194511
284,0.6769023244193422,0.20578230713154383,0.2718317693069685,1.0819728795317158
286,0.2713829536558192,0.23249461089855286,-0.1862552357322233,0.7290211430438618
288,0.31121723694792747,0.26444090802276166,-0.2092877794786222,0.8317222533744771
290,0.5781849646238603,0.20615049433797414,0.17242634477802815,0.9839435844696924
292,0.46213176801745937,0.23694973615364467,-0.00423422757115971,0.9284977636060785
294,0.5370349000859056,0.20021629004963953,0.14297929807162918,0.9310905021001821
296,0.45577233970307146,0.2072986686960457,0.04778918709238156,0.8637554923137614
298,0.5793599449725166,0.23101237350839415,0.12471878889675947,1.0340011010482737
300,0.33785769992575926,0.22333454361450053,-0.10166100255492283,0.7773764024064413
302,0.22219487014521405,0.24036598773086662,-0.25082848854455925,0.6952182288349873
304,0.4288554644023023,0.22719178160282605,-0.018229910714816666,0.8759408395194213
306,0.37683448279454057,0.24019895641806194,-0.09583481189975601,0.8495037774888372
308,0.6740552567876181,0.17474751387121062,0.330191929964373,1.0179185836108633
310,-0.003557064056850634,0.25875389331744897,-0.5127126083306401,0.5055984802169389
312,0.3055773191604563,0.2448956430278107,-0.1762967075758427,0.7874513458967553
314,0.45993487397994004,0.2289341631839678,0.009479176363327069,0.910390571596553
316,0.4627250150417602,0.20912671590975868,0.05125314029080963,0.8741968897927108
318,0.2706910121170804,0.20752339426343297,-0.13761614947247747,0.6789981737066383
320,0.43852955821331285,0.2065288509584495,0.03218907127222387,0.8448700451544018
322,0.43082954143963886,0.19918085859338366,0.03895546611547279,0.8227036167638049
324,0.4205102552107973,0.24921531723013135,-0.06979140101467646,0.9108119114362712
326,0.20637615677280335,0.22174265565740128,-0.22986606536598742,0.6426183789115941
328,0.47036393927194764,0.26425081424428254,-0.049494065458977055,0.9902219440028723
330,0.7202620092816125,0.2049044761586354,0.31716468138930404,1.123359337173921
332,0.5417939576360327,0.1911420213118149,0.16577924269325545,0.9178086725788099
334,0.6192864053425693,0.2202120282120218,0.18609481668923133,1.0524779939959072
336,0.30818205167790685,0.2167338504419818,-0.1181580194875716,0.7345221228433854
338,0.8102599408188402,0.20381035328886657,0.40935058491944326,1.2111692967182373
340,0.06608667058005807,0.24648408405564012,-0.4187544944781217,0.5509278356382379
342,0.23442862534030473,0.21119029732575603,-0.18097983016029023,0.6498370808408998
344,0.7135050319483093,0.22754601373597383,0.2659345085325476,1.161075555364071
346,0.5245974183312747,0.2200339826638717,0.0918116357569484,0.957383200905601
348,0.14832546799244933,0.21724394777925635,-0.27896381231740275,0.5756147483023014
350,0.5245401674861858,0.2120660662174972,0.10744353817226232,0.9416367968001094
352,0.6936550566206687,0.18741738822724996,0.3250454318217488,1.0622646814195886
354,0.3905345119724183,0.2302836869167417,-0.06237490702971066,0.8434439309745472
356,0.24414947724233815,0.19836811650799,-0.14598248779413692,0.6342814422788132
358,0.6640343576958219,0.20170352464432892,0.26735031031517287,1.0607184050764709
360,0.4708933248868802,0.21830088223671115,0.04157599793962208,0.9002106518341383
362,0.6723892949151729,0.20300289508632746,0.27316503208902615,1.0716135577413195
364,0.9371888809813349,0.19035642364450278,0.5628421073005901,1.3115356546620798
366,0.6381441980106342,0.17336471568974746,0.29721890626049147,0.9790694897607768
368,0.7254276594593686,0.1886921140227346,0.3543675237759098,1.0964877951428273
370,0.567715768692137,0.19333932782849345,0.18752385120312104,0.9479076861811531
372,0.3719902749422053,0.1977747622846645,-0.016916723953350143,0.7608972738377608
374,0.3855601359431546,0.1999384942556986,-0.007594681062144504,0.7787149529484536
376,0.4609547957940374,0.17084593505864032,0.1250128656781459,0.7968967259099289
378,0.29226725179552204,0.2038982416585148,-0.10865993254734119,0.6931944361383853
380,0.6115022516148013,0.20312139092561185,0.21210945680907256,1.0108950464205302
382,0.6760561395472469,0.19756442465422205,0.28759647803729527,1.0645158010571985
384,0.3496908812053115,0.1843585219689049,-0.012796671391919978,0.712178433802543
386,0.39014574065129487,0.17196562742881363,0.05203084633956456,0.7282606349630252
388,0.3683473787711885,0.23353410289753118,-0.09081448672967951,0.8275092442720565
390,0.788405399042881,0.1876481164990158,0.41946804013829714,1.1573427579474649
392,0.4030384793788798,0.17472506030268847,0.059514846903359175,0.7465621118544005
394,0.5386145199139936,0.18577013992588068,0.17338119589386053,0.9038478439341266
396,0.609384001793243,0.2115011308002856,0.19356884156558418,1.0251991620209018
398,0.5790795668771591,0.21018093357465653,0.16586640179070283,0.9922927319636154
400,0.5457124141889225,0.18867911436450732,0.17477730780183143,0.9166475205760135
402,0.22124720212117385,0.2012216093835269,-0.17433985229501656,0.6168342565373642
404,0.8613438115465128,0.16452201019511128,0.5379104087118867,1.184777214381139
406,0.5879436966842233,0.1855367123699012,0.22320302368093448,0.9526843696875121
408,0.7483798095021691,0.17224849602253228,0.4097670516172876,1.0869925673870506
410,0.7863657152156625,0.1890828574240746,0.4146647928438887,1.1580666375874362
